ATC-CODE,,BEDEUTUNG
,,
A,,
J05AF06,,Abacavir
L02BX01,,Abarelix
L04AA24,,Abatacept
B01AC13,,Abciximab
L04AA22,,Abetimus
L02BX03,,Abirateron
B02BC01,,Absorbierbarer Gelatineschwamm
G02CX55,,"Abucetamid, Kombinationen"
C01EB13,,Acadesin
N07BB03,,Acamprosat
A10BF01,,Acarbose
C07AB04,,Acebutolol
C07FB04,,Acebutolol und andere Antihypertonika
C07CB04,,Acebutolol und andere Diuretika
C07BB04,,Acebutolol und Thiazide
S01EB08,,Aceclidin
S01EB58,,"Aceclidin, Kombinationen"
M01AB16,,Aceclofenac
M02AA25,,Aceclofenac
R03DA09,,Acefyllinpiperazin
M01AB11,,Acemetacin
B01AA07,,Acenocoumarol
N05AA04,,Acepromazin
A07AX02,,Acetarsol
G01AB01,,Acetarsol
P01CD02,,Acetarsol
S01EC01,,Acetazolamid
A11DA07,,Acethiamin
A10BB31,,Acetohexamid
G04BX03,,Acetohydroxamsäure
N05AB07,,Acetophenazin
A02BX09,,Acetoxolon
V08AA07,,Acetrizoinsäure
R02AA33,,Acetylaminonitropropoxybenzol
N06BX12,,Acetylcarnitin
N07AB03,,Acetylcholin
S01EB09,,Acetylcholin
R05CB01,,Acetylcystein
S01XA08,,Acetylcystein
V03AB23,,Acetylcystein
C01AA01,,Acetyldigitoxin
C01AA02,,Acetyldigoxin
C01AA52,,"Acetyldigoxin, Kombinationen"
R05DA12,,Acetyldihydrocodein
N05CC03,,Acetylglycinamidchloralhydrat
N07CA04,,Acetylleucin
A01AD05,,Acetylsalicylsäure
B01AC06,,Acetylsalicylsäure
N02BA01,,Acetylsalicylsäure
R05XA02,,"Acetylsalicylsäure, Kombinationen"
N02BA51,,"Acetylsalicylsäure, Kombinationen exkl. Psycholeptika"
N02BA71,,"Acetylsalicylsäure, Kombinationen mit Psycholeptika"
M01BA03,,Acetylsalicylsäure und Corticosteroide
B01AC36,,Acetylsalicylsäure und Dipyridamol
B01AC56,,Acetylsalicylsäure und Esomeprazol
D06BB03,,Aciclovir
J05AB01,,Aciclovir
S01AD03,,Aciclovir
D06BB53,,"Aciclovir, Kombinationen"
C10AD06,,Acipimox
D05BB02,,Acitretin
L01DB04,,Aclarubicin
R03BB05,,Aclidinium bromid
M02AP03,,Acmella ciliata
N02BH01,,Aconitum
R02AA13,,Acriflaviniumchlorid
R06AX18,,Acrivastin
L04AB04,,Adalimumab
D10AD03,,Adapalen
D10AD53,,"Adapalen, Kombinationen"
J05AF08,,Adefovir dipivoxil
A16AA02,,Ademetionin
M09AX07,,Ademetionin
C01EB10,,Adenosin
N05BA07,,Adinazolam
V08AC04,,Adipiodon
N06BX17,,Adrafinil
A01AD06,,Adrenalon
B02BC05,,Adrenalon
C01CA50,,"Adrenerge und dopaminerge Mittel, Kombinationen"
C05BZ09,,Aescin
C05CA07,,Aescin
C05BZ59,,"Aescin, Kombinationen"
C05CA57,,"Aescin, Kombinationen"
L01XE13,,Afatinib
L04AB03,,Afelimomab
